,Event.Id,Investigation.Type,Accident.Number,Event.Date,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,year,month,day,Make/Model,model_new,City,State
13747,20010110X00199,Accident,LAX86LA083,1986-01-07,United States,,,Non-Fatal,Substantial,Airplane,N63660,cessna,150m,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Descent,Probable Cause,1986,1,7,cessna 150m,150,UKIAH, CA
13749,20010110X00191,Accident,LAX86FA089,1986-01-08,United States,GCN,GRAND CANYON,Fatal(3),Destroyed,Airplane,N2113E,cessna,172n,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1986,1,8,cessna 172n,172,GRAND CANYON, AZ
13751,20010110X00132,Accident,CHI86LA063,1986-01-08,United States,,,Non-Fatal,Substantial,Airplane,N50255,cessna,150h,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1986,1,8,cessna 150h,150,CHARLOTTE, MI
13758,20010110X00255,Accident,NYC86LA066,1986-01-10,United States,4B8,ROBERTSON,Non-Fatal,Substantial,Airplane,N6267Q,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1986,1,10,cessna 152,152,PLAINVILLE, CT
13760,20010110X00150,Accident,DEN86FA060,1986-01-10,United States,SLC,SALT LAKE CITY INT'L,Non-Fatal,Substantial,Airplane,N757ZE,cessna,152,No,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,IMC,Approach,Probable Cause,1986,1,10,cessna 152,152,SALT LAKE CITY, UT
13762,20010110X00265,Accident,SEA86LA037,1986-01-11,United States,TIW,TACOMA NARROWS,Non-Fatal,Destroyed,Airplane,N6989G,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Approach,Probable Cause,1986,1,11,cessna 150l,150,GIG HARBOR, WA
13767,20010110X00133,Accident,CHI86LA064,1986-01-11,United States,06C,SCHAUMBURG AIR PARK,Non-Fatal,Substantial,Airplane,N8470H,piper,pa28236,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1986,1,11,piper pa28236,pa-28,SCHAUMBURG, IL
13770,20010110X00248,Accident,NYC86LA059,1986-01-12,United States,5B5,BENNINGTON ST.,Non-Fatal,Substantial,Airplane,N49653,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,1,12,cessna 152,152,BENNINGTON, VT
13771,20010110X00238,Accident,MKC86LA050,1986-01-12,United States,DSM,DES MOINES MUNI,Non-Fatal,Substantial,Airplane,N8036B,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,1986,1,12,cessna 172,172,DES MOINES, IA
13772,20010110X00237,Accident,MKC86LA049,1986-01-12,United States,PVT,LUNGRAN,Non-Fatal,Substantial,Airplane,N7381X,cessna,150b,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Climb,Probable Cause,1986,1,12,cessna 150b,150,GOVE, KS
13776,20010110X00215,Accident,MIA86FA059,1986-01-13,United States,,SUMMERFIELD,Fatal(1),Destroyed,Airplane,N714AY,cessna,150m,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1986,1,13,cessna 150m,150,SUMMERFIELD, FL
13778,20010110X00249,Accident,NYC86LA060,1986-01-13,United States,DW,ESSEX COUNTY,Non-Fatal,Substantial,Airplane,N68214,cessna,152,No,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,1986,1,13,cessna 152,152,CALDWELL, NJ
13781,20010110X00156,Accident,DEN86LA064,1986-01-13,United States,FAR,HECTOR FIELD,Non-Fatal,Substantial,Airplane,N51238,cessna,172p,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,1,13,cessna 172p,172,FARGO, ND
13783,20010110X00266,Accident,SEA86LA038,1986-01-14,United States,2OS,MEAD AIRPORT,Non-Fatal,Substantial,Airplane,N714AQ,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,1,14,cessna 150m,150,MEAD, WA
13784,20010110X00135,Accident,CHI86LA066,1986-01-14,United States,,,Non-Fatal,Substantial,Airplane,N2495J,cessna,150g,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,1986,1,14,cessna 150g,150,PELICAN RAPIDS, MN
13786,20010110X00115,Accident,ATL86LA056,1986-01-15,United States,HYW,CONWAY-HORRY CO.,Non-Fatal,Destroyed,Airplane,N6235Q,cessna,152,No,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,Approach,Probable Cause,1986,1,15,cessna 152,152,CONWAY, SC
13790,20010110X00240,Accident,MKC86LA052,1986-01-15,United States,COU,COLUMBIA REGIONAL,Non-Fatal,Substantial,Airplane,N7013W,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1986,1,15,piper pa28180,pa-28,COLUMBIA, MO
13794,20010110X00251,Accident,NYC86LA062,1986-01-16,United States,NK03,KAMP,Non-Fatal,Substantial,Airplane,N5456T,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,1,16,cessna 172,172,DURHAMVILLE, NY
13796,20010110X00122,Accident,BFO86LA013,1986-01-16,United States,W09,LEESBURG MUNICIPAL,Non-Fatal,Substantial,Airplane,N4325V,piper,pa28161,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,1,16,piper pa28161,pa-28,LEESBURG, VA
13802,20010110X00257,Accident,NYC86LA073,1986-01-17,United States,4V8,MT. SNOW,Non-Fatal,Substantial,Airplane,N8360W,piper,pa28161,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,1,17,piper pa28161,pa-28,WEST DOVER, VT
13810,20010110X00242,Accident,MKC86LA055,1986-01-18,United States,31P,INDEPENDENCE,Non-Fatal,Substantial,Airplane,N4977P,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1986,1,18,cessna 152,152,INDEPENDENCE, MO
13823,20010110X00207,Accident,LAX86LA095,1986-01-19,United States,203,YOLO COUNTY,Non-Fatal,Substantial,Airplane,N6421E,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1986,1,19,cessna 172,172,WOODLAND, CA
13826,20010110X00221,Accident,MIA86LA061B,1986-01-20,United States,VRB,VERO BEACH MUNICIPAL,Non-Fatal,Minor,Airplane,N3745Q,piper,pa28r201,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,1986,1,20,piper pa28r201,pa-28,VERO BEACH, FL
13834,20010110X00171,Accident,FTW86LA036,1986-01-21,United States,CRP,CORPUS CHRISTI IN'L,Non-Fatal,Destroyed,Airplane,N738DC,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,2.0,0.0,IMC,Go-around,Probable Cause,1986,1,21,cessna 172n,172,CORPUS CHRISTI, TX
13836,20010110X00175,Accident,FTW86LA040,1986-01-21,United States,,,Non-Fatal,Substantial,Airplane,N714UU,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1986,1,21,cessna 152,152,FLYNN, TX
13838,20010110X00173,Accident,FTW86LA038,1986-01-21,United States,IAH,HOUSTON,Non-Fatal,Substantial,Airplane,N3373B,cessna,172g,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,Cruise,Probable Cause,1986,1,21,cessna 172g,172,SPRING, TX
13843,20010110X00185,Accident,FTW86LRG11,1986-01-23,United States,MFE,MILLER INTERNATIONAL ARPT,Non-Fatal,Substantial,Airplane,N20889,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1986,1,23,cessna 172m,172,MCALLEN, TX
13849,20010110X00180,Accident,FTW86LRA05,1986-01-24,United States,DWH,DAVID WAYNE HOOKS,Non-Fatal,Substantial,Airplane,N98523,cessna,172,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,1,24,cessna 172,172,TOMBALL, TX
13850,20010110X00126,Accident,CHI86FEI02,1986-01-24,United States,,,Non-Fatal,Substantial,Airplane,N22755,cessna,150h,No,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,1986,1,24,cessna 150h,150,STRONGSVILLE, OH
13851,20010110X00119,Accident,ATL86LA065,1986-01-24,United States,PDK,DEKALB-PEACHTREE,Non-Fatal,Substantial,Airplane,N8292N,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Standing,Probable Cause,1986,1,24,piper pa28140,pa-28,ATLANTA, GA
13857,20010110X00142,Accident,CHI86LA075,1986-01-25,United States,C85,BARABOO,Non-Fatal,Substantial,Airplane,N46675,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,1,25,cessna 172,172,BARABOO, WI
13859,20010110X00193,Accident,LAX86FA099,1986-01-26,United States,1Q1,ECKERT,Fatal(1),Destroyed,Airplane,N7672T,cessna,172a,No,1.0,Reciprocating,Personal,1.0,2.0,0.0,0.0,IMC,Descent,Probable Cause,1986,1,26,cessna 172a,172,STRATHMORE, CA
13876,20010110X00109,Accident,ATL86FA066,1986-01-29,United States,EXX,LEXINGTON,Fatal(2),Substantial,Airplane,N25277,cessna,152,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Other,Probable Cause,1986,1,29,cessna 152,152,LEXINGTON, NC
13891,20001213X32807,Accident,ATL86LA067,1986-02-01,United States,LBT,LUMBERTON MUNICIPAL,Non-Fatal,Destroyed,Airplane,N25350,cessna,152,No,1.0,Reciprocating,Instructional,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,1986,2,1,cessna 152,152,LUMBERTON, NC
13896,20001213X32837,Accident,DEN86FA070,1986-02-01,United States,,,Fatal(2),Substantial,Airplane,N46193,cessna,152,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1986,2,1,cessna 152,152,BERTHOUD, CO
13897,20001213X32808,Accident,ATL86LA068,1986-02-01,United States,,,Non-Fatal,Substantial,Airplane,N52238,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,Takeoff,Probable Cause,1986,2,1,cessna 172p,172,ALEXANDER CITY, AL
13907,20001213X32857,Accident,FTW86FRA09,1986-02-03,United States,LBX,BRAZORIA CO.,Non-Fatal,Destroyed,Airplane,N52768,cessna,172p,No,1.0,Reciprocating,Personal,0.0,3.0,0.0,0.0,UNK,Approach,Probable Cause,1986,2,3,cessna 172p,172,LAKE JACKSON, TX
13910,20001213X32942,Accident,SEA86FA053,1986-02-04,United States,APC,NAPA COUNTY,Fatal(1),Destroyed,Airplane,N736HV,cessna,172xp,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,1986,2,4,cessna 172xp,172,NAPA, CA
13912,20001213X32934,Accident,NYC86LA072,1986-02-04,United States,,,Non-Fatal,Substantial,Airplane,N6007G,cessna,150,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,1986,2,4,cessna 150,150,NAUGATUCK, CT
13917,20001213X32869,Accident,LAX86FA107,1986-02-06,United States,,MENDOCINO COUNTY,Fatal(4),Destroyed,Airplane,N8338N,piper,pa28181,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,1986,2,6,piper pa28181,pa-28,FORT BRAGG, CA
13922,20001213X32878,Accident,LAX86LA108,1986-02-07,United States,SJC,SAN JOSE INTL,Non-Fatal,Substantial,Airplane,N95139,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,2,7,cessna 152,152,SAN JOSE, CA
13932,20001213X32881,Accident,LAX86LA111,1986-02-08,United States,,,Non-Fatal,Substantial,Airplane,N9974W,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Cruise,Probable Cause,1986,2,8,piper pa28140,pa-28,JOSHUA TREE, CA
13934,20001213X32793,Accident,ANC86LA026,1986-02-08,United States,MCG,MCGARTH,Fatal(1),Substantial,Airplane,N7071C,piper,pa28235,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Landing,Probable Cause,1986,2,8,piper pa28235,pa-28,MCGRATH, AK
13936,20001213X32943,Accident,SEA86FA054,1986-02-09,United States,RNT,RENTON MUNICIPAL,Non-Fatal,Destroyed,Airplane,N738XX,cessna,172n,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,1986,2,9,cessna 172n,172,RENTON, WA
13940,20001213X32879,Accident,LAX86LA109,1986-02-09,United States,L35,BIG BEAR CITY,Non-Fatal,Substantial,Airplane,N1507V,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,1986,2,9,cessna 172m,172,BIG BEAR CITY, CA
13941,20001213X32812,Accident,ATL86LA072,1986-02-09,United States,CHS,CHARLESTON INTER.,Non-Fatal,Substantial,Airplane,N39663,piper,pa28181,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1986,2,9,piper pa28181,pa-28,CHARLESTON, SC
13948,20001213X32886,Accident,LAX86LA117,1986-02-11,United States,ONT,ONTARIO INTL,Non-Fatal,Substantial,Airplane,N55386,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1986,2,11,cessna 172p,172,ONTARIO, CA
13953,20001213X32947,Accident,SEA86LA057,1986-02-12,United States,RTN,RENTON MUNI,Non-Fatal,Substantial,Airplane,N739UW,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1986,2,12,cessna 172,172,RENTON, WA
13954,20001213X32935,Accident,NYC86LA074B,1986-02-12,United States,FRG,REPUBLIC,Non-Fatal,Substantial,Airplane,N8298A,piper,pa28rt201t,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Standing,Probable Cause,1986,2,12,piper pa28rt201t,pa-28,FARMINGDALE, NY
13962,20001213X32828,Accident,CHI86LA086,1986-02-14,United States,STC,ST. CLOUD MUNICIPAL,Non-Fatal,Substantial,Airplane,N5466D,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,2,14,cessna 172n,172,ST. CLOUD, MN
13966,20001213X32913,Accident,MIA86LA078,1986-02-15,United States,X53,CLEWISTON,Non-Fatal,Substantial,Airplane,N8886U,cessna,172f,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Landing,Probable Cause,1986,2,15,cessna 172f,172,CLEWISTON, FL
13967,20001213X32912,Accident,MIA86LA077,1986-02-15,United States,,,Non-Fatal,Substantial,Airplane,N772WA,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,1986,2,15,cessna 152,152,FT. PIERCE, FL
13988,20001213X32848,Accident,DEN86LA081,1986-02-19,United States,064,ALAMEDA,Non-Fatal,Substantial,Airplane,N6353M,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,2,19,cessna 152,152,ALAMEDA, NM
13989,20001213X32816,Accident,ATL86LA078,1986-02-19,United States,OCW,WARREN FLD,Non-Fatal,Substantial,Airplane,N1975E,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,2,19,cessna 172n,172,WASHINGTON, NC
13991,20001213X32930,Accident,NYC86FA077,1986-02-20,United States,12N,AEROFLEX - ANDOVER,Fatal(1),Destroyed,Airplane,N739SP,cessna,172n,No,1.0,Reciprocating,Instructional,1.0,0.0,0.0,0.0,VMC,Landing,Probable Cause,1986,2,20,cessna 172n,172,ANDOVER, NJ
13993,20001213X32805,Accident,ATL86FKG07,1986-02-20,United States,,,Non-Fatal,Destroyed,Airplane,N8288W,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Maneuvering,Probable Cause,1986,2,20,piper pa28180,pa-28,STATESBORO, GA
14015,20001213X32820,Accident,BFO86FID01,1986-02-23,United States,GVE,GORDONSVILLE,Non-Fatal,Destroyed,Airplane,N7191Q,cessna,172l,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,1986,2,23,cessna 172l,172,GORDONSVILLE, VA
14021,20001213X32937,Accident,NYC86LA078,1986-02-24,United States,ASH,BOIRE FIELD,Non-Fatal,Substantial,Airplane,N303DW,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1986,2,24,cessna 152,152,NASHUA, NH
14024,20001213X32893,Accident,LAX86LA125,1986-02-24,United States,O41,WATTS-WOODLAND,Non-Fatal,Substantial,Airplane,N6188K,cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,2,24,cessna 150,150,WOODLAND, CA
14025,20001213X32892,Accident,LAX86LA124,1986-02-24,United States,,,Non-Fatal,Substantial,Airplane,N60816,cessna,150j,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1986,2,24,cessna 150j,150,LOS BANOS, CA
14026,20001213X32861,Accident,FTW86LQA01,1986-02-24,United States,ELP,EL PASO INTERNATIONAL,Non-Fatal,Substantial,Airplane,N67888,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1986,2,24,cessna 152,152,EL PASO, TX
14030,20001213X32817,Accident,ATL86LLT07,1986-02-25,United States,,,Non-Fatal,Destroyed,Airplane,N93472,cessna,152,No,1.0,Reciprocating,Instructional,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,1986,2,25,cessna 152,152,DYERSBURG, TN
14036,20001213X32850,Accident,DEN86LA084,1986-02-26,United States,S25,WATFORD CITY MUNI,Non-Fatal,Substantial,Airplane,N16210,cessna,150l,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,2,26,cessna 150l,150,WATFORD CITY, ND
14042,20001213X32895,Accident,LAX86LA129,1986-02-27,United States,Q35,SPRINGERVILLE,Non-Fatal,Substantial,Airplane,N61572,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1986,2,27,cessna 172m,172,SPRINGERVILLE, AZ
14056,20001213X32998,Accident,CHI86FA094B,1986-03-01,United States,PTK,PONTIAC-OAKLAND,Fatal(1),Destroyed,Airplane,N48003,cessna,172m,No,1.0,Reciprocating,Personal,1.0,2.0,0.0,0.0,VMC,Approach,Probable Cause,1986,3,1,cessna 172m,172,DRAYTON PLAINES, MI
14057,20001213X32998,Accident,CHI86FA094A,1986-03-01,United States,PTK,PONTIAC-OAKLAND,Fatal(1),Destroyed,Airplane,N93604,cessna,152,No,1.0,Reciprocating,Instructional,1.0,2.0,0.0,0.0,VMC,Approach,Probable Cause,1986,3,1,cessna 152,152,DRAYTON PLAINES, MI
14059,20001213X33157,Accident,NYC86FHA01,1986-03-01,United States,N-88,DOYLESTOWN,Non-Fatal,Substantial,Airplane,N2270Q,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,3,1,piper pa28140,pa-28,DOYLESTOWN, PA
14063,20001213X33034,Accident,DEN86LA086,1986-03-01,United States,7S4,WISDOM,Non-Fatal,Substantial,Airplane,N69043,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1986,3,1,cessna 152,152,WISDOM, MT
14064,20001213X33015,Accident,CHI86LA095,1986-03-01,United States,WI07,WAUPUN,Non-Fatal,Substantial,Airplane,N1636Y,cessna,172c,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,3,1,cessna 172c,172,WAUPUN, WI
14067,20001213X33080,Accident,LAX86FA131,1986-03-02,United States,SNA,JOHN WAYNE/ORANGE,Fatal(3),Destroyed,Airplane,N81918,piper,pa28181,No,1.0,Reciprocating,Instructional,3.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1986,3,2,piper pa28181,pa-28,NEWPORT BEACH, CA
14069,20001213X32978,Accident,ATL86LA083,1986-03-02,United States,HKY,HICKORY MUNICIPAL,Non-Fatal,Destroyed,Airplane,N9153K,piper,pa28181,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Descent,Probable Cause,1986,3,2,piper pa28181,pa-28,HICKORY, NC
14070,20001213X33177,Accident,SEA86LA069,1986-03-02,United States,,,Non-Fatal,Substantial,Airplane,N734LQ,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1986,3,2,cessna 172,172,CONCRETE, WA
14072,20001213X33141,Accident,MKC86LA065,1986-03-02,United States,3GV,EAST KANSAS CITY,Non-Fatal,Substantial,Airplane,N3979L,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,3,2,cessna 172,172,GRAIN VALLEY, MO
14076,20001213X33076,Accident,FTW86LRD08,1986-03-02,United States,3R4,HART,Non-Fatal,Substantial,Airplane,N5234K,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,3,2,cessna 172p,172,MANY, LA
14078,20001213X33037,Accident,DEN86LA089,1986-03-02,United States,,,Non-Fatal,Substantial,Airplane,N7879U,cessna,172f,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,1986,3,2,cessna 172f,172,EPHRAIM, UT
14080,20001213X32996,Accident,BFO86LA017,1986-03-02,United States,,,Non-Fatal,Substantial,Airplane,N8167R,piper,pa28161,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1986,3,2,piper pa28161,pa-28,ELKTON, MD
14085,20001213X33178,Accident,SEA86LA070,1986-03-03,United States,U01,AMERICAN FALLS,Non-Fatal,Substantial,Airplane,N6486J,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1986,3,3,cessna 172,172,AMERICAN FALLS, ID
